CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,596,556,
43,2,222,182,
86,3,123,83,
129,4,209,169,
172,5,609,569,
215,6,814,774,
258,7,204,164,
301,8,308,268,
344,9,333,293,
387,1,556,516,
430,2,182,142,
473,3,83,43,
516,4,169,129,
559,5,569,529,
602,6,774,734,
645,7,164,124,
688,8,268,228,
731,9,293,253,
774,1,516,476,
817,2,142,102,
860,3,43,3,
903,4,129,89,
946,5,529,489,
989,6,734,694,
1032,7,124,84,
1075,8,228,188,
1118,9,253,213,
1161,1,476,436,
1204,2,102,62,
1247,3,3,0,1250
1253,4,89,49,
1296,5,489,449,
1339,6,694,654,
1382,7,84,44,
1425,8,188,148,
1468,9,213,173,
1511,1,436,396,
1554,2,62,22,
1597,4,49,9,
1640,5,449,409,
1683,6,654,614,
1726,7,44,4,
1769,8,148,108,
1812,9,173,133,
1855,1,396,356,
1898,2,22,0,1920
1923,4,9,0,1932
1935,5,409,369,
1978,6,614,574,
2021,7,4,0,2025
2028,8,108,68,
2071,9,133,93,
2114,1,356,316,
2157,5,369,329,
2200,6,574,534,
2243,8,68,28,
2286,9,93,53,
2329,1,316,276,
2372,5,329,289,
2415,6,534,494,
2458,8,28,0,2486
2489,9,53,13,
2532,1,276,236,
2575,5,289,249,
2618,6,494,454,
2661,9,13,0,2674
2677,1,236,196,
2720,5,249,209,
2763,6,454,414,
2806,1,196,156,
2849,5,209,169,
2892,6,414,374,
2935,1,156,116,
2978,5,169,129,
3021,6,374,334,
3064,1,116,76,
3107,5,129,89,
3150,6,334,294,
3193,1,76,36,
3236,5,89,49,
3279,6,294,254,
3322,1,36,0,3358
3361,5,49,9,
3404,6,254,214,
3447,5,9,0,3456
3459,6,214,174,
3502,6,174,134,
3545,6,134,94,
3588,6,94,54,
3631,6,54,14,
3674,6,14,0,3688
AverageTurnaroundTime: ,2532.1
